 65, 49
-0.5000000000000000E+00, 0.5620504062164855E-15
-0.4687500000000000E+00, 0.5620504062164855E-15
-0.4375000000000000E+00, 0.5620504062164857E-15
-0.4062500000000000E+00, 0.5620504062164854E-15
-0.3750000000000000E+00, 0.5620504062164857E-15
-0.3437500000000000E+00, 0.5620504062164855E-15
-0.3125000000000000E+00, 0.5620504062164856E-15
-0.2812500000000000E+00, 0.5620504062164856E-15
-0.2500000000000000E+00, 0.5620504062164855E-15
-0.2187500000000000E+00, 0.5620504062164854E-15
-0.1875000000000000E+00, 0.5620504062164855E-15
-0.1562500000000000E+00, 0.5620504062164855E-15
-0.1250000000000000E+00, 0.5620504062164856E-15
-0.9375000000000000E-01, 0.5620504062164854E-15
-0.6250000000000000E-01, 0.5620504062164855E-15
-0.3125000000000000E-01, 0.5620504062164853E-15
 0.0000000000000000E+00, 0.5620504062164855E-15
 0.3125000000000000E-01, 0.5510218147140091E-02
 0.6250000000000000E-01, 0.1102043629427962E-01
 0.9375000000000000E-01, 0.1653065444141915E-01
 0.1250000000000000E+00, 0.2204087258855868E-01
 0.1562500000000000E+00, 0.2755109073569820E-01
 0.1875000000000000E+00, 0.3306130888283773E-01
 0.2187500000000000E+00, 0.3857152702997726E-01
 0.2500000000000000E+00, 0.4408174517711679E-01
 0.2812500000000000E+00, 0.4959196332425632E-01
 0.3125000000000000E+00, 0.5510218147139585E-01
 0.3437500000000000E+00, 0.6061239961853537E-01
 0.3750000000000000E+00, 0.6612261776567491E-01
 0.4062500000000000E+00, 0.7163283591281444E-01
 0.4375000000000000E+00, 0.7714305405995395E-01
 0.4687500000000000E+00, 0.8265327220709348E-01
 0.5000000000000000E+00, 0.8816349035423302E-01
 0.5312500000000000E+00, 0.8265327220709348E-01
 0.5625000000000000E+00, 0.7714305405995395E-01
 0.5937500000000000E+00, 0.7163283591281444E-01
 0.6250000000000000E+00, 0.6612261776567491E-01
 0.6562500000000000E+00, 0.6061239961853537E-01
 0.6875000000000000E+00, 0.5510218147139585E-01
 0.7187500000000000E+00, 0.4959196332425632E-01
 0.7500000000000000E+00, 0.4408174517711679E-01
 0.7812500000000000E+00, 0.3857152702997726E-01
