ZONE	i=65	j=49
	7.8125000000000000E-01,	3.8571527029977258E-02
	8.1250000000000000E-01,	3.3061308882837731E-02
	8.4375000000000000E-01,	2.7551090735698211E-02
	8.7500000000000000E-01,	2.2040872588558681E-02
	9.0625000000000000E-01,	1.6530654441419140E-02
	9.3750000000000000E-01,	1.1020436294279630E-02
	9.6875000000000000E-01,	5.5102181471400943E-03
	1.0000000000000000E+00,	5.6205040621648560E-16
	1.0312500000000000E+00,	5.6205040621648550E-16
	1.0625000000000000E+00,	5.6205040621648560E-16
	1.0937500000000000E+00,	5.6205040621648570E-16
	1.1250000000000000E+00,	5.6205040621648540E-16
	1.1562500000000000E+00,	5.6205040621648530E-16
	1.1875000000000000E+00,	5.6205040621648550E-16
	1.2187500000000000E+00,	5.6205040621648560E-16
	1.2500000000000000E+00,	5.6205040621648550E-16
	1.2812500000000000E+00,	5.6205040621648540E-16
	1.3125000000000000E+00,	5.6205040621648540E-16
	1.3437500000000000E+00,	5.6205040621648550E-16
	1.3750000000000000E+00,	5.6205040621648540E-16
	1.4062500000000000E+00,	5.6205040621648550E-16
	1.4375000000000000E+00,	5.6205040621648560E-16
	1.4687500000000000E+00,	5.6205040621648550E-16
	1.5000000000000000E+00,	5.6205040621648550E-16
	-5.0000000000000000E-01,	3.0754525154607248E-02
	-4.6875000000000000E-01,	3.0754525154607248E-02
	-4.3750000000000000E-01,	3.0754525154607259E-02
	-4.0625000000000000E-01,	3.0754525154607242E-02
	-3.7500000000000000E-01,	3.0754525154607259E-02
	-3.4375000000000000E-01,	3.0754525154607248E-02
	-3.1250000000000000E-01,	3.0754525154607248E-02
	-2.8125000000000000E-01,	3.0754525154607248E-02
	-2.5000000000000000E-01,	3.0754525154607248E-02
	-2.1875000000000000E-01,	3.0754525154607242E-02
	-1.8750000000000000E-01,	3.0754525154607248E-02
	-1.5625000000000000E-01,	3.0754525154607248E-02
	-1.2500000000000000E-01,	3.0754525154607248E-02
	-9.3750000000000000E-02,	3.0754525154607242E-02
	-6.2500000000000000E-02,	3.0754525154607248E-02
	-3.1250000000000000E-02,	3.0754525154607242E-02
	0.0000000000000000E+00,	3.0754525154607248E-02
	3.1250000000000000E-02,	3.6151767206671057E-02
	6.2500000000000000E-02,	4.1549009258734872E-02
	9.3750000000000000E-02,	4.6946251310798687E-02
	1.2500000000000000E-01,	5.2343493362862509E-02
	1.5625000000000000E-01,	5.7740735414926317E-02
	1.8750000000000000E-01,	6.3137977466990125E-02
	2.1875000000000000E-01,	6.8535219519053933E-02
	2.5000000000000000E-01,	7.3932461571117755E-02
	2.8125000000000000E-01,	7.9329703623181563E-02
	3.1250000000000000E-01,	8.4726945675245385E-02
	3.4375000000000000E-01,	9.0124187727309180E-02
	3.7500000000000000E-01,	9.5521429779373002E-02
	4.0625000000000000E-01,	1.0091867183143680E-01
	4.3750000000000000E-01,	1.0631591388350060E-01
	4.6875000000000000E-01,	1.1171315593556440E-01
	5.0000000000000000E-01,	1.1711039798762830E-01
	5.3125000000000000E-01,	1.1171315593556440E-01
	5.6250000000000000E-01,	1.0631591388350060E-01
	5.9375000000000000E-01,	1.0091867183143680E-01
	6.2500000000000000E-01,	9.5521429779373002E-02
	6.5625000000000000E-01,	9.0124187727309193E-02
	6.8750000000000000E-01,	8.4726945675245385E-02
	7.1875000000000000E-01,	7.9329703623181577E-02
	7.5000000000000000E-01,	7.3932461571117741E-02
	7.8125000000000000E-01,	6.8535219519053933E-02
	8.1250000000000000E-01,	6.3137977466990125E-02
	8.4375000000000000E-01,	5.7740735414926317E-02
	8.7500000000000000E-01,	5.2343493362862488E-02
	9.0625000000000000E-01,	4.6946251310798687E-02
	9.3750000000000000E-01,	4.1549009258734879E-02
	9.6875000000000000E-01,	3.6151767206671057E-02
	1.0000000000000000E+00,	3.0754525154607248E-02
	1.0312500000000000E+00,	3.0754525154607248E-02
	1.0625000000000000E+00,	3.0754525154607248E-02
	1.0937500000000000E+00,	3.0754525154607259E-02
	1.1250000000000000E+00,	3.0754525154607242E-02
	1.1562500000000000E+00,	3.0754525154607242E-02
	1.1875000000000000E+00,	3.0754525154607248E-02
	1.2187500000000000E+00,	3.0754525154607248E-02
	1.2500000000000000E+00,	3.0754525154607248E-02
	1.2812500000000000E+00,	3.0754525154607242E-02
	1.3125000000000000E+00,	3.0754525154607242E-02
	1.3437500000000000E+00,	3.0754525154607248E-02
	1.3750000000000000E+00,	3.0754525154607242E-02
	1.4062500000000000E+00,	3.0754525154607248E-02
	1.4375000000000000E+00,	3.0754525154607248E-02
	1.4687500000000000E+00,	3.0754525154607248E-02
	1.5000000000000000E+00,	3.0754525154607248E-02
	-5.0000000000000000E-01,	6.1539962504120048E-02
	-4.6875000000000000E-01,	6.1539962504120048E-02
	-4.3750000000000000E-01,	6.1539962504120062E-02
	-4.0625000000000000E-01,	6.1539962504120048E-02
	-3.7500000000000000E-01,	6.1539962504120062E-02
	-3.4375000000000000E-01,	6.1539962504120048E-02
	-3.1250000000000000E-01,	6.1539962504120062E-02
	-2.8125000000000000E-01,	6.1539962504120062E-02
	-2.5000000000000000E-01,	6.1539962504120048E-02
	-2.1875000000000000E-01,	6.1539962504120048E-02
	-1.8750000000000000E-01,	6.1539962504120048E-02
	-1.5625000000000000E-01,	6.1539962504120048E-02
	-1.2500000000000000E-01,	6.1539962504120062E-02
	-9.3750000000000000E-02,	6.1539962504120048E-02
	-6.2500000000000000E-02,	6.1539962504120048E-02
	-3.1250000000000000E-02,	6.1539962504120027E-02
	0.0000000000000000E+00,	6.1539962504120048E-02
	3.1250000000000000E-02,	6.6824114905816578E-02
	6.2500000000000000E-02,	7.2108267307513130E-02
	9.3750000000000000E-02,	7.7392419709209667E-02
	1.2500000000000000E-01,	8.2676572110906218E-02
	1.5625000000000000E-01,	8.7960724512602742E-02
	1.8750000000000000E-01,	9.3244876914299279E-02
	2.1875000000000000E-01,	9.8529029315995831E-02
	2.5000000000000000E-01,	1.0381318171769240E-01
	2.8125000000000000E-01,	1.0909733411938891E-01
	3.1250000000000000E-01,	1.1438148652108540E-01
	3.4375000000000000E-01,	1.1966563892278199E-01
	3.7500000000000000E-01,	1.2494979132447850E-01
	4.0625000000000000E-01,	1.3023394372617511E-01
	4.3750000000000000E-01,	1.3551809612787161E-01
	4.6875000000000000E-01,	1.4080224852956810E-01
	5.0000000000000000E-01,	1.4608640093126471E-01
	5.3125000000000000E-01,	1.4080224852956810E-01
	5.6250000000000000E-01,	1.3551809612787161E-01
	5.9375000000000000E-01,	1.3023394372617500E-01
	6.2500000000000000E-01,	1.2494979132447850E-01
	6.5625000000000000E-01,	1.1966563892278199E-01
	6.8750000000000000E-01,	1.1438148652108550E-01
	7.1875000000000000E-01,	1.0909733411938891E-01
	7.5000000000000000E-01,	1.0381318171769230E-01
	7.8125000000000000E-01,	9.8529029315995831E-02
	8.1250000000000000E-01,	9.3244876914299279E-02
	8.4375000000000000E-01,	8.7960724512602742E-02
	8.7500000000000000E-01,	8.2676572110906191E-02
	9.0625000000000000E-01,	7.7392419709209667E-02
	9.3750000000000000E-01,	7.2108267307513130E-02
	9.6875000000000000E-01,	6.6824114905816578E-02
	1.0000000000000000E+00,	6.1539962504120062E-02
	1.0312500000000000E+00,	6.1539962504120048E-02
	1.0625000000000000E+00,	6.1539962504120062E-02
	1.0937500000000000E+00,	6.1539962504120062E-02
	1.1250000000000000E+00,	6.1539962504120048E-02
	1.1562500000000000E+00,	6.1539962504120027E-02
	1.1875000000000000E+00,	6.1539962504120048E-02
	1.2187500000000000E+00,	6.1539962504120062E-02
	1.2500000000000000E+00,	6.1539962504120048E-02
	1.2812500000000000E+00,	6.1539962504120048E-02
	1.3125000000000000E+00,	6.1539962504120048E-02
	1.3437500000000000E+00,	6.1539962504120048E-02
	1.3750000000000000E+00,	6.1539962504120048E-02
	1.4062500000000000E+00,	6.1539962504120048E-02
	1.4375000000000000E+00,	6.1539962504120062E-02
	1.4687500000000000E+00,	6.1539962504120048E-02
	1.5000000000000000E+00,	6.1539962504120048E-02
	-5.0000000000000000E-01,	9.2355694438861324E-02
	-4.6875000000000000E-01,	9.2355694438861324E-02
	-4.3750000000000000E-01,	9.2355694438861338E-02
	-4.0625000000000000E-01,	9.2355694438861324E-02
	-3.7500000000000000E-01,	9.2355694438861338E-02
	-3.4375000000000000E-01,	9.2355694438861324E-02
	-3.1250000000000000E-01,	9.2355694438861338E-02
	-2.8125000000000000E-01,	9.2355694438861338E-02
	-2.5000000000000000E-01,	9.2355694438861324E-02
	-2.1875000000000000E-01,	9.2355694438861324E-02
	-1.8750000000000000E-01,	9.2355694438861324E-02
	-1.5625000000000000E-01,	9.2355694438861324E-02
	-1.2500000000000000E-01,	9.2355694438861338E-02
	-9.3750000000000000E-02,	9.2355694438861324E-02
	-6.2500000000000000E-02,	9.2355694438861324E-02
	-3.1250000000000000E-02,	9.2355694438861310E-02
	0.0000000000000000E+00,	9.2355694438861324E-02
	3.1250000000000000E-02,	9.7526645903675060E-02
	6.2500000000000000E-02,	1.0269759736848880E-01
	9.3750000000000000E-02,	1.0786854883330250E-01
	1.2500000000000000E-01,	1.1303950029811630E-01
	1.5625000000000000E-01,	1.1821045176293001E-01
	1.8750000000000000E-01,	1.2338140322774380E-01
	2.1875000000000000E-01,	1.2855235469255749E-01
	2.5000000000000000E-01,	1.3372330615737121E-01
	2.8125000000000000E-01,	1.3889425762218499E-01
	3.1250000000000000E-01,	1.4406520908699871E-01
	3.4375000000000000E-01,	1.4923616055181241E-01
